Year,Name,Number,Rank
1980,JENNIFER,705,1
1980,AMANDA,551,2
1980,MELISSA,316,3
1980,LISA,290,4
1980,SARAH,284,5
1980,MICHELLE,281,6
1980,NICOLE,252,7
1980,ERIN,249,8
1980,ANGELA,215,9
1980,HEATHER,191,10
1980,KIMBERLY,191,10
1980,CRYSTAL,175,12
1980,JESSICA,168,13
1980,ANDREA,166,14
1980,AMY,151,15
1980,CHRISTINE,150,16
1980,STEPHANIE,146,17
1980,LINDSAY,144,18
1980,TARA,141,19
1980,LAURA,134,20
1980,MELANIE,131,21
1980,SHANNON,131,21
1980,AMBER,127,23
1980,KELLY,123,24
1980,CHRISTINA,119,25
1980,REBECCA,119,25
1980,PAMELA,116,27
1980,TANYA,102,28
1980,TRACY,100,29
1980,ELIZABETH,99,30
1980,JULIE,95,31
1980,DANIELLE,94,32
1980,JAMIE,92,33
1980,KATHERINE,86,34
1980,CHERYL,84,35
1980,MEGAN,83,36
1980,TAMMY,81,37
1980,JACQUELINE,79,38
1980,KRISTY,77,39
1980,KRISTA,75,40
1980,KAREN,74,41
1980,PATRICIA,72,42
1980,LEAH,69,43
1980,SARA,69,43
1980,DAWN,68,45
1980,TAMARA,68,45
1980,TIFFANY,68,45
1980,BRANDY,65,48
1980,STACEY,65,48
1980,MARIE,64,50
1980,CARRIE,63,51
1980,JILL,63,51
1980,CATHERINE,62,53
1980,CANDACE,61,54
1980,VANESSA,61,54
1980,KIMBERLEY,60,56
1980,LEANNE,60,56
1980,NATALIE,60,56
1980,ALLISON,58,59
1980,APRIL,58,59
1980,KRISTIN,57,61
1980,MARY,57,61
1980,NATASHA,56,63
1980,SHAUNA,56,63
1980,HOLLY,55,65
1980,KRISTEN,55,65
1980,ROBIN,54,67
1980,RACHEL,53,68
1980,SUSAN,53,68
1980,JOLENE,52,70
1980,KATHRYN,51,71
1980,CARLA,49,72
1980,COURTNEY,49,72
1980,TINA,49,72
1980,CARMEN,48,75
1980,SANDRA,48,75
1980,JANINE,47,77
1980,ROBYN,47,77
1980,ALISON,46,79
1980,ANNA,46,79
1980,CINDY,45,81
1980,COLLEEN,44,82
1980,EMILY,44,82
1980,DEANNA,42,84
1980,WENDY,42,84
1980,CANDICE,41,86
1980,MIRANDA,41,86
1980,SHELLEY,41,86
1980,SUZANNE,41,86
1980,ALICIA,40,90
1980,JODY,40,90
1980,KRISTINA,40,90
1980,MEGHAN,40,90
1980,SHAWNA,40,90
1980,JODI,39,95
1980,SAMANTHA,38,96
1980,JENNY,37,97
1980,LINDSEY,37,97
1980,LORI,37,97
1980,SABRINA,37,97
1980,BRANDI,36,101
1980,ERICA,36,101
1980,KATHLEEN,36,101
1980,DANA,35,104
1980,LESLIE,35,104
1980,BONNIE,34,106
1980,JULIA,34,106
1980,KENDRA,34,106
1980,CARLY,33,109
1980,CHARLENE,33,109
1980,CYNTHIA,33,109
1980,DENISE,33,109
1980,MANDY,33,109
1980,NAOMI,33,109
1980,TRINA,33,109
1980,AIMEE,32,116
1980,BARBARA,32,116
1980,JOANNE,32,116
1980,RENEE,32,116
1980,JOCELYN,31,120
1980,KYLA,31,120
1980,STACY,31,120
1980,CHRISTY,30,123
1980,MARIA,30,123
1980,ROXANNE,30,123
1980,SHERRY,30,123
1980,THERESA,30,123
1980,ANNE,29,128
1980,CAROLYN,29,128
1980,HEIDI,29,128
1980,JANELLE,29,128
1980,JILLIAN,29,128
1980,LINDA,29,128
1980,NANCY,29,128
1980,RHONDA,29,128
1980,TRISHA,29,128
1980,VICTORIA,29,128
1980,ANITA,28,138
1980,BRIANNE,28,138
1980,JAIME,28,138
1980,JANICE,28,138
1980,KIRSTEN,28,138
1980,DONNA,27,143
1980,JACLYN,27,143
1980,RACHELLE,27,143
1980,TANIA,27,143
1980,CAROLINE,26,147
1980,KARI,26,147
1980,LANA,26,147
1980,ALANA,25,150
1980,DIANA,25,150
1980,KARA,25,150
1980,TERESA,25,150
1980,KRISTINE,24,154
1980,NADINE,24,154
1980,VALERIE,24,154
1980,BRENDA,23,157
1980,CHRISTA,23,157
1980,KERRY,23,157
1980,MONIQUE,23,157
1980,NADIA,23,157
1980,NICHOLE,23,157
1980,CHANTEL,22,163
1980,CHANTELLE,22,163
1980,KATRINA,22,163
1980,KERRI,22,163
1980,LAURIE,22,163
1980,LESLEY,22,163
1980,MONICA,22,163
1980,ASHLEY,21,170
1980,CAROL,21,170
1980,DEBORAH,21,170
1980,DESIREE,21,170
1980,KARLA,21,170
1980,KATIE,21,170
1980,KELSEY,21,170
1980,MISTY,21,170
1980,SHEILA,21,170
1980,ADRIENNE,20,179
1980,BROOKE,20,179
1980,JANET,20,179
1980,JESSIE,20,179
1980,JODIE,20,179
1980,SHERI,20,179
1980,TASHA,20,179
1980,CHARITY,19,186
1980,CHELSEA,19,186
1980,CHRISTIE,19,186
1980,DIANE,19,186
1980,ELAINE,19,186
1980,GINA,19,186
1980,KERI,19,186
1980,KRYSTAL,19,186
1980,TERRA,19,186
1980,VERONICA,19,186
1980,AMIE,18,196
1980,CARA,18,196
1980,CHANTAL,18,196
1980,CLAIRE,18,196
1980,LAUREN,18,196
1980,MARGARET,18,196
1980,TERRI,18,196
1980,ALANNA,17,203
1980,AUDREY,17,203
1980,JASMINE,17,203
1980,JOANNA,17,203
1980,TANIS,17,203
1980,TONI,17,203
1980,BECKY,16,209
1980,BOBBI,16,209
1980,DEBBIE,16,209
1980,GILLIAN,16,209
1980,JANA,16,209
1980,JANNA,16,209
1980,KIM,16,209
1980,MELODY,16,209
1980,SHELLY,16,209
1980,TRICIA,16,209
1980,ANGIE,15,219
1980,CONNIE,15,219
1980,ERIKA,15,219
1980,JACKIE,15,219
1980,JENNA,15,219
1980,RUTH,15,219
1980,SONYA,15,219
1980,ALYSSA,14,226
1980,CAMILLE,14,226
1980,DALLAS,14,226
1980,DEBRA,14,226
1980,FIONA,14,226
1980,GENEVIEVE,14,226
1980,LARISSA,14,226
1980,MAUREEN,14,226
1980,MELINDA,14,226
1980,PAULA,14,226
1980,ROBERTA,14,226
1980,SHARON,14,226
1980,ALEXANDRA,13,238
1980,ALEXIS,13,238
1980,ANNETTE,13,238
1980,CASSANDRA,13,238
1980,DEANNE,13,238
1980,GRACE,13,238
1980,IRENE,13,238
1980,JACQUELYN,13,238
1980,JANE,13,238
1980,KRISTI,13,238
1980,LEONA,13,238
1980,LYNDSAY,13,238
1980,LYNN,13,238
1980,PRISCILLA,13,238
1980,SERENA,13,238
1980,SHERRI,13,238
1980,SHERYL,13,238
1980,TRACEY,13,238
1980,VIRGINIA,13,238
1980,ALISHA,12,257
1980,BEVERLY,12,257
1980,BRANDIE,12,257
1980,BREANNE,12,257
1980,CHANDRA,12,257
1980,CHARLOTTE,12,257
1980,CHARMAINE,12,257
1980,CHERIE,12,257
1980,ESTHER,12,257
1980,EVA,12,257
1980,HELEN,12,257
1980,JOY,12,257
1980,LAUREL,12,257
1980,LORA,12,257
1980,MARTHA,12,257
1980,MORGAN,12,257
1980,ROCHELLE,12,257
1980,ANGEL,11,274
1980,BILLIE,11,274
1980,CHRYSTAL,11,274
1980,KATHY,11,274
1980,KRISTIE,11,274
1980,MELISA,11,274
1980,MICHELE,11,274
1980,OLIVIA,11,274
1980,SHANNA,11,274
1980,SUSANNE,11,274
1980,TRUDY,11,274
1980,ANN,10,285
1980,ARLENE,10,285
1980,BETH,10,285
1980,CHELSEY,10,285
1980,CHERI,10,285
1980,DAYNA,10,285
1980,ELLEN,10,285
1980,JADE,10,285
1980,JAYME,10,285
1980,JEANETTE,10,285
1980,JEANINE,10,285
1980,JONI,10,285
1980,JOYCE,10,285
1980,JUDITH,10,285
1980,JUDY,10,285
1980,KATE,10,285
1980,KELLIE,10,285
1980,LARA,10,285
1980,MARINA,10,285
1980,MARISSA,10,285
1980,RACHAEL,10,285
1980,RICHELLE,10,285
1980,SYLVIA,10,285
1980,TABITHA,10,285
1980,BEVERLEY,9,309
1980,CORINNE,9,309
1980,DARA,9,309
1980,ELISSA,9,309
1980,EMMA,9,309
1980,JEAN,9,309
1980,KELLI,9,309
1980,KYLIE,9,309
1980,LOUISE,9,309
1980,MARCIE,9,309
1980,MINDY,9,309
1980,MIRIAM,9,309
1980,RANDI,9,309
1980,SALLY,9,309
1980,SASHA,9,309
1980,SHIRLEY,9,309
1980,SONIA,9,309
1980,VICKI,9,309
1980,VICKY,9,309
1980,ALYSON,8,328
1980,ANGELINE,8,328
1980,CARISSA,8,328
1980,COLETTE,8,328
1980,ELISA,8,328
1980,FRANCES,8,328
1980,FRANCINE,8,328
1980,GLENDA,8,328
1980,HAYLEY,8,328
1980,JAIMIE,8,328
1980,JULIANA,8,328
1980,LEE,8,328
1980,LIZA,8,328
1980,LONI,8,328
1980,LORRAINE,8,328
1980,MACKENZIE,8,328
1980,MANDI,8,328
1980,MARLA,8,328
1980,MEAGAN,8,328
1980,PENNY,8,328
1980,SANDY,8,328
1980,SHARI,8,328
1980,STACIE,8,328
1980,TERRY,8,328
1980,ABIGAIL,7,352
1980,ALISA,7,352
1980,ANGELINA,7,352
1980,ANNIE,7,352
1980,BREANNA,7,352
1980,CLAUDIA,7,352
1980,CORINNA,7,352
1980,CRISTIN,7,352
1980,DAISY,7,352
1980,DARLENE,7,352
1980,DEVON,7,352
1980,EILEEN,7,352
1980,FATIMA,7,352
1980,GAIL,7,352
1980,JEANNETTE,7,352
1980,JORDAN,7,352
1980,KARYN,7,352
1980,KRISTYN,7,352
1980,LEANNA,7,352
1980,LYNETTE,7,352
1980,LYNNETTE,7,352
1980,MARCIA,7,352
1980,MARILYN,7,352
1980,MARSHA,7,352
1980,MELLISA,7,352
1980,MEREDITH,7,352
1980,NIKKI,7,352
1980,PAIGE,7,352
1980,REGAN,7,352
1980,RITA,7,352
1980,SHARLENE,7,352
1980,SHEENA,7,352
1980,SOPHIE,7,352
1980,SUSANNA,7,352
1980,TANNIS,7,352
1980,TERI,7,352
1980,TONYA,7,352
1980,VENESSA,7,352
1980,VIVIAN,7,352
1980,YVONNE,7,352
1980,ADINA,6,392
1980,ADRIANA,6,392
1980,AMELIA,6,392
1980,ANASTASIA,6,392
1980,BETTY,6,392
1980,BRIANNA,6,392
1980,EDITH,6,392
1980,ELENA,6,392
1980,EMILIE,6,392
1980,GINGER,6,392
1980,HANNAH,6,392
1980,HELENA,6,392
1980,JAMI,6,392
1980,JANEEN,6,392
1980,JOELLE,6,392
1980,JOLEEN,6,392
1980,KIMBERLEE,6,392
1980,KIRSTIN,6,392
1980,KRISTAL,6,392
1980,LACEY,6,392
1980,LENA,6,392
1980,LIANNE,6,392
1980,LORELEI,6,392
1980,LORNA,6,392
1980,LYDIA,6,392
1980,LYNDSEY,6,392
1980,MARCI,6,392
1980,MARIANNE,6,392
1980,MARLENE,6,392
1980,MARTINA,6,392
1980,MELODIE,6,392
1980,PAULINE,6,392
1980,RAELENE,6,392
1980,RAMONA,6,392
1980,ROSA,6,392
1980,ROSANNA,6,392
1980,ROSANNE,6,392
1980,SHANA,6,392
1980,SOPHIA,6,392
1980,STEFANIE,6,392
1980,TAMI,6,392
1980,TAMMI,6,392
1980,TARYN,6,392
1980,AILEEN,5,435
1980,ALICE,5,435
1980,ALLYSON,5,435
1980,ANNA-MARIE,5,435
1980,AUTUMN,5,435
1980,BERNADETTE,5,435
1980,BETHANY,5,435
1980,BILLIE-JO,5,435
1980,BOBBIE,5,435
1980,BREE,5,435
