Year,Name,Number,Rank
1923,MARY,210,1
1923,MARGARET,195,2
1923,DOROTHY,136,3
1923,ELIZABETH,63,4
1923,JEAN,61,5
1923,HELEN,54,6
1923,IRENE,54,6
1923,ALICE,52,8
1923,KATHLEEN,52,8
1923,PHYLLIS,51,10
1923,DORIS,50,11
1923,EDITH,49,12
1923,JOAN,48,13
1923,MARJORIE,48,13
1923,FLORENCE,44,15
1923,RUTH,44,15
1923,EVELYN,43,17
1923,AUDREY,42,18
1923,DOREEN,36,19
1923,NORMA,35,20
1923,GLADYS,34,21
1923,ELSIE,33,22
1923,BARBARA,32,23
1923,MARIE,32,23
1923,PATRICIA,32,23
1923,LILLIAN,31,26
1923,MARION,31,26
1923,ANNIE,30,28
1923,FRANCES,30,28
1923,MURIEL,29,30
1923,CATHERINE,28,31
1923,MILDRED,27,32
1923,OLIVE,27,32
1923,THELMA,27,32
1923,JUNE,26,35
1923,AGNES,25,36
1923,GRACE,25,36
1923,JOYCE,25,36
1923,ETHEL,24,39
1923,SHIRLEY,24,39
1923,EDNA,23,41
1923,JESSIE,23,41
1923,VIOLET,23,41
1923,VERA,22,44
1923,EILEEN,21,45
1923,ANNA,20,46
1923,BETTY,20,46
1923,ELEANOR,19,48
1923,GERTRUDE,19,48
1923,CONSTANCE,18,50
1923,HAZEL,18,50
1923,ELLEN,17,52
1923,JANET,17,52
1923,MAY,17,52
1923,NORA,17,52
1923,PEARL,17,52
1923,EVA,16,57
1923,RUBY,16,57
1923,JULIA,15,59
1923,MARGUERITE,15,59
1923,BEATRICE,14,61
1923,ESTHER,14,61
1923,GERALDINE,14,61
1923,MABEL,14,61
1923,BERNICE,13,65
1923,IDA,13,65
1923,LAURA,13,65
1923,LOIS,13,65
1923,ROSE,13,65
1923,SHEILA,13,65
1923,ADA,12,71
1923,BERTHA,12,71
1923,GLORIA,12,71
1923,KATHERINE,12,71
1923,LILIAN,12,71
1923,MARIAN,12,71
1923,MYRTLE,12,71
1923,SARAH,12,71
1923,CHRISTINA,11,79
1923,EMILY,11,79
1923,GEORGINA,11,79
1923,HILDA,11,79
1923,IRIS,11,79
1923,MARIA,11,79
1923,VIVIAN,11,79
1923,WINNIFRED,11,79
1923,CLARA,10,87
1923,DORA,10,87
1923,NORAH,10,87
1923,WINIFRED,10,87
1923,YVONNE,10,87
1923,ALMA,9,92
1923,EMMA,9,92
1923,JANE,9,92
1923,JOSEPHINE,9,92
1923,MARGRET,9,92
1923,ANNE,8,97
1923,ISABEL,8,97
1923,LUCY,8,97
1923,MARJORY,8,97
1923,NANCY,8,97
1923,NELLIE,8,97
1923,PAULINE,8,97
1923,TOSHIKO,8,97
1923,VIRGINIA,8,97
1923,AMY,7,106
1923,ELAINE,7,106
1923,IVY,7,106
1923,LORRAINE,7,106
1923,MARGERY,7,106
1923,MARTHA,7,106
1923,STELLA,7,106
1923,AIKO,6,113
1923,AYAKO,6,113
1923,DAISY,6,113
1923,EIKO,6,113
1923,FRANCIS,6,113
1923,FUMIKO,6,113
1923,GWENDOLYN,6,113
1923,LILY,6,113
1923,LORNA,6,113
1923,PAMELA,6,113
1923,ROSEMARY,6,113
1923,SYLVIA,6,113
1923,VELMA,6,113
1923,VICTORIA,6,113
1923,VIOLA,6,113
1923,AILEEN,5,128
1923,BERYL,5,128
1923,BEVERLEY,5,128
1923,CECILIA,5,128
1923,CHARLOTTE,5,128
1923,DAPHNE,5,128
1923,ENID,5,128
1923,EUNICE,5,128
1923,HIDEKO,5,128
1923,ISABELLA,5,128
1923,JEANNE,5,128
1923,KIMIKO,5,128
1923,KIYOKO,5,128
1923,MAVIS,5,128
1923,MAXINE,5,128
1923,MIRIAM,5,128
1923,ROBERTA,5,128
1923,SHIZUYE,5,128
1923,SUMIYE,5,128
1923,YOSHIKO,5,128
1924,MARGARET,59,1
1924,MARY,58,2
1924,DOROTHY,40,3
1924,ELIZABETH,23,4
1924,HELEN,23,4
1924,DORIS,22,6
1924,ANNIE,21,7
1924,JOAN,19,8
1924,BETTY,18,9
1924,FLORENCE,18,9
1924,PATRICIA,18,9
1924,IRENE,16,12
1924,JEAN,16,12
1924,ALICE,14,14
1924,AUDREY,14,14
1924,BARBARA,14,14
1924,EVELYN,14,14
1924,JOYCE,14,14
1924,VIOLET,14,14
1924,DOREEN,13,20
1924,RUTH,13,20
1924,ETHEL,12,22
1924,FRANCES,12,22
1924,GLADYS,12,22
1924,KATHLEEN,12,22
1924,MARJORIE,12,22
1924,MURIEL,11,27
1924,THELMA,11,27
1924,EDNA,10,29
1924,GERTRUDE,10,29
1924,JESSIE,10,29
1924,LILLIAN,10,29
1924,PHYLLIS,10,29
1924,RUBY,10,29
1924,BERNICE,9,35
1924,MARIE,9,35
1924,MAY,9,35
1924,NORMA,9,35
1924,SHIRLEY,9,35
1924,ANNA,8,40
1924,CATHERINE,8,40
1924,MARION,8,40
1924,NANCY,8,40
1924,OLIVE,8,40
1924,EDITH,7,45
1924,EILEEN,7,45
1924,ELLEN,7,45
1924,EMMA,7,45
1924,MABEL,7,45
1924,MARGUERITE,7,45
1924,PAULINE,7,45
1924,BLANCHE,6,52
1924,ELSIE,6,52
1924,GLORIA,6,52
1924,HAZEL,6,52
1924,JUNE,6,52
1924,LAURA,6,52
1924,LOIS,6,52
1924,MILDRED,6,52
