Year,Name,Number,Rank
1980,AMANDA,199,1
1980,MELISSA,162,2
1980,JENNIFER,139,3
1980,JULIE,100,4
1980,SARAH,79,5
1980,LISA,77,6
1980,AMY,76,7
1980,MARIE,67,8
1980,MELANIE,67,8
1980,MICHELLE,60,10
1980,ANGELA,55,11
1980,STEPHANIE,54,12
1980,TANYA,52,13
1980,ERIN,51,14
1980,CHRISTINE,47,15
1980,HEATHER,45,16
1980,NICOLE,44,17
1980,ANNIE,43,18
1980,CINDY,43,18
1980,SYLVIE,43,18
1981,MELISSA,162,1
1981,JENNIFER,160,2
1981,AMANDA,138,3
1981,JULIE,106,4
1981,MARIE,101,5
1981,SARAH,98,6
1981,AMY,73,7
1981,LISA,59,8
1981,MELANIE,58,9
1981,CHRISTINE,56,10
1981,STEPHANIE,55,11
1981,MICHELLE,52,12
1981,MÉLANIE,50,13
1981,ANGELA,48,14
1981,ANNIE,46,15
1981,TANYA,46,15
1981,CINDY,43,17
1981,KRISTA,43,17
1981,ERIN,42,19
1981,HEATHER,40,20
1982,JENNIFER,174,1
1982,MELISSA,137,2
1982,AMANDA,126,3
1982,JESSICA,95,4
1982,MARIE,95,4
1982,JULIE,92,6
1982,SARAH,92,6
1982,MELANIE,82,8
1982,AMY,71,9
1982,STEPHANIE,65,10
1982,CRYSTAL,60,11
1982,ANGELA,53,12
1982,LISA,50,13
1982,CHRISTINE,48,14
1982,MICHELLE,45,15
1982,ERIN,44,16
1982,NICOLE,43,17
1982,MÉLANIE,41,18
1982,NATHALIE,41,18
1982,SYLVIE,40,20
1983,JENNIFER,145,1
1983,JESSICA,121,2
1983,AMANDA,119,3
1983,MELISSA,116,4
1983,JULIE,95,5
1983,SARAH,90,6
1983,STEPHANIE,86,7
1983,MARIE,74,8
1983,AMY,67,9
1983,ASHLEY,62,10
1983,CRYSTAL,60,11
1983,LISA,59,12
1983,NICOLE,51,13
1983,ERIN,50,14
1983,MELANIE,48,15
1983,ISABELLE,45,16
1983,MÉLANIE,45,16
1983,MICHELLE,43,18
1983,ANGELA,42,19
1983,CHRISTINE,42,19
1984,JENNIFER,146,1
1984,JESSICA,120,2
1984,MELISSA,118,3
1984,AMANDA,109,4
1984,SARAH,95,5
1984,ASHLEY,90,6
1984,MARIE,83,7
1984,STEPHANIE,72,8
1984,JULIE,70,9
1984,LAURA,66,10
1984,MÉLANIE,56,11
1984,AMY,53,12
1984,NICOLE,50,13
1984,MELANIE,48,14
1984,LISA,46,15
1984,CHRISTINE,44,16
1984,MICHELLE,44,16
1984,DANIELLE,42,18
1984,MEGAN,42,18
1984,ERIN,41,20
1985,JESSICA,124,1
1985,JENNIFER,113,2
1985,AMANDA,111,3
1985,ASHLEY,104,4
