Year,Name,Number,Rank
1923,JOHN,305,1
1923,WILLIAM,240,2
1923,ROBERT,215,3
1923,JAMES,175,4
1923,GEORGE,159,5
1923,CHARLES,107,6
1923,ARTHUR,81,7
1923,GORDON,79,8
1923,THOMAS,76,9
1923,DONALD,74,10
1923,KENNETH,74,10
1923,DAVID,73,12
1923,RICHARD,65,13
1923,HAROLD,59,14
1923,NORMAN,59,14
1923,JOSEPH,58,16
1923,WALTER,50,17
1923,EDWARD,47,18
1923,ALBERT,44,19
1923,ERNEST,44,19
1923,FREDERICK,43,21
1923,ROY,43,21
1923,RAYMOND,42,23
1923,DOUGLAS,40,24
1923,JACK,38,25
1923,STANLEY,38,25
1923,RONALD,34,27
1923,FRANK,31,28
1923,ALFRED,29,29
1923,HARRY,27,30
1923,HENRY,27,30
1923,LESLIE,27,30
1923,ALEXANDER,26,33
1923,HERBERT,26,33
1923,FRANCIS,24,35
1923,ALLAN,23,36
1923,ANDREW,21,37
1923,CLIFFORD,21,37
1923,LLOYD,21,37
1923,PETER,21,37
1923,WILFRED,21,37
1923,LAWRENCE,19,42
1923,LEONARD,19,42
1923,PAUL,18,44
1923,ALLEN,17,45
1923,ERIC,17,45
1923,PHILIP,17,45
1923,BRUCE,16,48
1923,HUGH,14,49
1923,BERNARD,13,50
1923,EDWIN,13,50
1923,IAN,13,50
1923,MASAO,13,50
1923,HOWARD,12,54
1923,LOUIS,12,54
1923,RALPH,12,54
1923,REGINALD,12,54
1923,ALAN,11,58
1923,DENNIS,11,58
1923,VICTOR,11,58
1923,YOSHIO,11,58
1923,CECIL,10,62
1923,GLEN,10,62
1923,PATRICK,10,62
1923,TOSHIO,10,62
1923,CYRIL,9,66
1923,FRED,9,66
1923,FREDRICK,9,66
1923,GERALD,9,66
1923,GILBERT,9,66
1923,HIDEO,9,66
1923,HIROSHI,9,66
1923,KIYOSHI,9,66
1923,MAURICE,9,66
1923,MINORU,9,66
1923,RODERICK,9,66
1923,SIDNEY,9,66
1923,STEPHEN,9,66
1923,CLARENCE,8,79
1923,DESMOND,8,79
1923,EARL,8,79
1923,EDGAR,8,79
1923,ROGER,8,79
1923,VERNON,8,79
1923,ALVIN,7,85
1923,BERTRAM,7,85
1923,CARL,7,85
1923,KAZUO,7,85
1923,SAMUEL,7,85
1923,WING,7,85
1923,ARNOLD,6,91
1923,COLIN,6,91
1923,ELMER,6,91
1923,FRANKLIN,6,91
1923,LAURENCE,6,91
1923,MALCOLM,6,91
1923,MICHAEL,6,91
1923,MITSUO,6,91
1923,MURRAY,6,91
1923,SHIGEO,6,91
1923,TSUTOMU,6,91
1923,VINCENT,6,91
1923,AKIRA,5,103
1923,ANGUS,5,103
1923,DUNCAN,5,103
1923,GUY,5,103
1923,HARVEY,5,103
1923,HUBERT,5,103
1923,ISAMU,5,103
1923,NEIL,5,103
1923,NICK,5,103
1923,OSCAR,5,103
1923,PERCIVAL,5,103
1923,PERCY,5,103
1923,ROSS,5,103
1923,RUSSELL,5,103
1923,SHIGERU,5,103
1923,TERENCE,5,103
1923,TREVOR,5,103
1923,WALLACE,5,103
1924,JOHN,86,1
1924,ROBERT,79,2
1924,WILLIAM,68,3
1924,JAMES,47,4
1924,GEORGE,43,5
1924,ARTHUR,30,6
1924,DONALD,29,7
1924,DAVID,28,8
1924,THOMAS,28,8
1924,CHARLES,22,10
1924,HAROLD,21,11
1924,WALTER,20,12
1924,EDWARD,18,13
1924,RONALD,18,13
1924,HENRY,17,15
1924,DOUGLAS,16,16
1924,ERNEST,16,16
1924,GORDON,15,18
1924,FRANK,14,19
1924,KENNETH,14,19
1924,ROY,13,21
1924,JACK,12,22
1924,JOSEPH,12,22
1924,FREDERICK,11,24
1924,FRANCIS,10,25
1924,HARRY,10,25
1924,RICHARD,10,25
1924,ALBERT,9,28
1924,NORMAN,9,28
1924,PETER,9,28
1924,STANLEY,9,28
1924,ALEXANDER,8,32
1924,LLOYD,8,32
1924,RAYMOND,8,32
1924,SAMUEL,8,32
1924,VICTOR,8,32
1924,WALLACE,8,32
1924,ALFRED,7,38
1924,BRUCE,7,38
1924,HERBERT,7,38
1924,HOWARD,7,38
1924,LEONARD,7,38
1924,WILFRED,7,38
1924,ALAN,6,44
1924,BERNARD,6,44
1924,HIDEO,6,44
1924,LAWRENCE,6,44
1924,LESLIE,6,44
1924,ARNOLD,5,49
1924,CLARENCE,5,49
1924,DANIEL,5,49
1924,FRED,5,49
1924,HUGH,5,49
1924,KIYOSHI,5,49
1924,MALCOLM,5,49
1924,MASAO,5,49
1924,MICHAEL,5,49
1924,MIKE,5,49
1924,NICK,5,49
1924,TAKASHI,5,49
1925,JOHN,299,1
1925,WILLIAM,290,2
1925,ROBERT,223,3
1925,JAMES,163,4
1925,GEORGE,154,5
1925,DONALD,93,6
1925,GORDON,88,7
1925,THOMAS,85,8
1925,ARTHUR,78,9
1925,CHARLES,75,10
1925,DAVID,66,11
1925,EDWARD,60,12
1925,JOSEPH,60,12
1925,KENNETH,55,14
1925,FRANK,51,15
1925,HAROLD,50,16
1925,NORMAN,50,16
1925,RICHARD,49,18
1925,STANLEY,46,19
1925,FREDERICK,45,20
1925,ROY,45,20
1925,DOUGLAS,44,22
1925,ALBERT,42,23
1925,FRANCIS,41,24
1925,PETER,41,24
1925,RAYMOND,40,26
1925,WALTER,39,27
1925,ERNEST,37,28
1925,RONALD,36,29
1925,HERBERT,35,30
1925,HARRY,33,31
1925,ALEXANDER,32,32
1925,HENRY,29,33
1925,JACK,29,33
1925,RALPH,28,35
1925,ALFRED,25,36
1925,LEONARD,25,36
1925,VICTOR,25,36
1925,ERIC,24,39
1925,ALAN,23,40
1925,GERALD,20,41
1925,EDWIN,19,42
1925,LAWRENCE,19,42
1925,LESLIE,18,44
1925,ALLAN,17,45
1925,SAMUEL,17,45
1925,ANDREW,16,47
1925,BRUCE,15,48
1925,EARL,15,48
1925,LORNE,15,48
1925,HUGH,14,51
1925,MICHAEL,14,51
1925,WILFRED,14,51
