Year,Name,Number,Rank
1980,MICHAEL,169,1
1980,CHRISTOPHER,144,2
1980,JASON,143,3
1980,MATTHEW,120,4
1980,DAVID,112,5
1980,ANDREW,95,6
1980,DANIEL,94,7
1980,JOSEPH,90,8
1980,ROBERT,89,9
1980,ERIC,83,10
1980,MARC,82,11
1980,ADAM,81,12
1980,MARK,81,12
1980,RYAN,78,14
1980,SCOTT,74,15
1980,KEVIN,72,16
1980,BRIAN,71,17
1980,JUSTIN,71,17
1980,JAMES,70,19
1980,NICHOLAS,70,19
1981,MATTHEW,166,1
1981,RYAN,141,2
1981,MICHAEL,137,3
1981,JOSEPH,135,4
1981,JASON,129,5
1981,CHRISTOPHER,127,6
1981,DAVID,109,7
1981,DANIEL,102,8
1981,JONATHAN,101,9
1981,ANDREW,95,10
1981,JAMES,84,11
1981,JUSTIN,81,12
1981,ADAM,78,13
1981,ERIC,78,13
1981,KEVIN,76,15
1981,ROBERT,75,16
1981,MARC,72,17
1981,MATHIEU,72,17
1981,JEREMY,67,19
1981,NICHOLAS,65,20
1982,CHRISTOPHER,171,1
1982,MATTHEW,164,2
1982,MICHAEL,157,3
1982,JASON,135,4
1982,JOSEPH,129,5
1982,DAVID,116,6
1982,JONATHAN,111,7
1982,RYAN,109,8
1982,ANDREW,100,9
1982,ADAM,92,10
1982,JAMES,80,11
1982,ROBERT,80,11
1982,ERIC,77,13
1982,KEVIN,74,14
1982,DANIEL,72,15
1982,JOHN,69,16
1982,MATHIEU,68,17
1982,JUSTIN,64,18
1982,JEREMY,59,19
1982,MARC,59,19
1983,MATTHEW,173,1
1983,MICHAEL,143,2
1983,CHRISTOPHER,131,3
1983,JOSEPH,127,4
1983,RYAN,123,5
1983,JASON,112,6
1983,ANDREW,103,7
1983,JUSTIN,96,8
1983,DAVID,95,9
1983,ADAM,94,10
1983,JONATHAN,92,11
1983,DANIEL,91,12
1983,NICHOLAS,82,13
1983,MATHIEU,78,14
1983,KEVIN,73,15
1983,ERIC,70,16
1983,JAMES,69,17
1983,MARC,69,17
1983,MARK,69,17
1983,ROBERT,69,17
1984,MATTHEW,165,1
1984,CHRISTOPHER,151,2
1984,MICHAEL,144,3
1984,JASON,127,4
1984,JOSEPH,119,5
1984,ANDREW,112,6
1984,JOSHUA,108,7
1984,RYAN,106,8
1984,DANIEL,95,9
1984,ADAM,94,10
1984,MATHIEU,92,11
1984,JUSTIN,89,12
1984,JONATHAN,84,13
1984,NICHOLAS,81,14
1984,KEVIN,80,15
1984,DAVID,78,16
1984,ERIC,70,17
1984,JAMES,65,18
1984,JEFFREY,64,19
1984,MARC,62,20
1985,MATTHEW,153,1
1985,CHRISTOPHER,136,2
1985,JASON,119,3
1985,MICHAEL,112,4
1985,JONATHAN,97,5
1985,RYAN,95,6
1985,JOSHUA,89,7
1985,JOSEPH,88,8
1985,DANIEL,86,9
1985,ADAM,84,10
1985,JUSTIN,81,11
