Years,White,Black,Hispanic,Asian,Other
1980,81.42749646824548,11.560017107751458,4.88408599901289,0.9404898343934579,1.1879105905968321
1981,80.90527113594936,12.290376356898495,4.6485911180966735,0.9742772246021391,1.1814841644534313
1982,79.68097616018225,12.547992979215788,5.578548422815613,0.9562019389563586,1.2362804988300808
1983,78.95125936854603,13.041581859602525,5.762302506207812,0.9510645123017305,1.2937917533418426
1984,79.3054197721421,12.969951438063337,5.605903772483177,0.8723675757395719,1.2463574415718766
1985,79.0929938600859,12.717618482615794,6.076907409332626,0.8731070612957273,1.2393731866699804
1986,79.44541628557323,13.044580835137104,5.407807210854316,0.853670090716393,1.2485255777189512
1987,77.8406186651097,13.543719886293932,6.431356985744651,0.8752683210053559,1.3090361418463492
1988,78.01660995684979,13.282596589239008,6.522175480111206,0.8799322651337282,1.2986857086662968
1989,77.4691910740446,14.011182365604155,6.324277432724592,0.8521296027450702,1.3432195248816994
1990,77.55074661867538,13.78974764210668,6.461462666998881,0.8543320020250578,1.3437110701939583
1991,78.09402024424165,13.419852751338347,6.30862792236769,0.8492691721221268,1.3282299099301225
1992,78.30731816544412,13.412241793675186,6.1090897930200665,0.8425563931785991,1.3287938546821245
1993,78.53197841546562,13.175032546570012,6.072833528628642,0.890354660538365,1.3298008487975144
1994,79.05324919304944,12.967730890603512,5.801109803057748,0.8467494561776963,1.3311606571115704
1995,78.88417318755907,13.36802409300055,5.606352829509113,0.8162683923350715,1.3251814975960388
1996,80.41507293275274,12.06770557594634,5.327217565033445,0.8876342976052096,1.3023696286620332
1997,81.75636407905056,11.226133983600567,4.722541112643283,0.928699553861747,1.366261270844005
1998,78.73703359684824,13.303442787443185,5.590901175860679,0.9588947162361713,1.4097277236116101
1999,80.35552296332882,12.508327908096478,4.7535112692417885,0.9715254019636514,1.4111124573692826
2000,80.88062611603274,11.984476998986578,4.716496615548184,1.0373145343187329,1.3810857351137698
2001,80.2556559032483,12.078371325287339,5.095438739060436,1.1323496592098359,1.43818437319402
2002,79.69159979890287,12.683862377383322,5.034820860569516,1.1395974740894623,1.4501194890549585
2003,78.7858471296409,13.350464291568317,5.1799357482539,1.270890838085862,1.412861992451116
2004,77.25437966631299,14.778711245618718,5.247657578185895,1.216793511067925,1.502457998814456
2005,76.65914114620074,15.592352225600614,5.071409466167388,1.236305755283534,1.4407914067476455
2006,75.16045156924795,15.857210423674855,5.654579860385343,1.6888213227315307,1.6389368239602675
2007,74.69630535274081,17.17166173405634,5.155800692770946,1.3319504180297739,1.6442818024020658
2008,75.68488712707638,15.352953733451383,5.46246133780158,1.8191687573967612,1.6805290442738268
2009,74.0857551323448,16.385455005069407,5.83789819227525,2.0022037863213553,1.6886878839892796
2010,71.25281525834426,18.45058761352341,6.366521826351413,2.096186201771931,1.8338891000089095
2011,71.04999456591783,19.587179286897904,5.741657921099312,1.9486213098584808,1.6725469162265039
2012,70.95061710608796,18.517457573237174,6.4665837662718815,2.2517657188789837,1.8135758355241554
2013,70.48448639046065,19.395922206109333,6.330543027590936,2.0567557201608433,1.732292655678181
2014,69.60204436225268,20.68351822940282,5.900890851920957,2.0756427521195238,1.7379038043040684
2015,69.29389618265552,21.25622115060836,6.239774063775437,1.5245974172259484,1.6855111857347258
2016,68.98946615745186,20.30132376346573,6.622742190269676,2.305804688126662,1.7806632006860879
2017,68.1582139956685,21.94609034106677,6.314952386783111,1.894327246015275,1.68641603046631
