Years,White,Black,Hispanic,Asian,Other
1980,82.84376326667612,10.074977460816315,5.059413230376222,0.8470789759191963,1.1747670662122771
1981,82.74383517810095,10.164993341818422,5.082551690511687,0.8498097863296978,1.1588100032392576
1982,81.3646778140923,11.184748527274166,5.39651240267061,0.8514242153597709,1.20263704060318
1983,81.05707278034676,11.461300683370853,5.435711348003467,0.8273549469442534,1.2185602413346626
1984,80.16407351525594,12.240493468648896,5.564397829484695,0.7914568188803539,1.2395783677300516
1985,79.78211617707242,12.75691094584114,5.4490444832693905,0.7626523702300353,1.249276023586943
1986,79.93050051990708,12.547049584233678,5.415901230117159,0.811086733840531,1.2954619319014704
1987,79.75452357497437,12.710658860348309,5.411472791901866,0.8101934386748928,1.313151334100681
1988,79.90454696254402,12.640262878948366,5.365815991271892,0.7801271605884804,1.309247006647176
1989,79.14512178044303,13.222764050482228,5.471692951944938,0.8091861615561585,1.3512350555734627
1990,79.36560146442115,12.852262300952214,5.6273363689154525,0.8128258656165319,1.3419740000948168
1991,79.7022516155884,12.666829584825399,5.4800026161437465,0.8177387345084155,1.3331774489342725
1992,80.47438370430663,12.238154012862603,5.1431787357178065,0.8169114995247237,1.327372047588142
1993,80.89017134566112,12.099953079576247,4.850512439244693,0.831693481773164,1.3276696537446804
1994,81.43654816851867,11.65789691497194,4.780425184948396,0.8143991213743454,1.3107306101866167
1995,81.24897071251841,12.116737829383894,4.4644955823439325,0.8610617645659846,1.3087341111878794
1996,81.54434878106467,11.848462048255218,4.391329540668246,0.8900542634156535,1.3258053665962013
1997,81.60054562407863,11.6382771696559,4.485220678003336,0.9571338877589227,1.3188226405033465
1998,81.58395414641303,11.668106666088523,4.47782977828694,0.9505476689615372,1.3195617402501643
1999,81.71319426282929,11.264712495943519,4.68468236179028,1.005273750231377,1.3321371292055562
2000,83.11122234379042,10.127733826058678,4.422289916459564,1.005663283960166,1.3330906297312277
2001,81.74647150597197,10.73432559123189,5.015364884817726,1.134316262144008,1.3695217558346204
2002,81.51008216147756,11.063571630823612,4.820124351028272,1.2200236530489381,1.3861982036216658
2003,79.1863563135553,13.273856715660603,4.997197051802571,1.1805289260344896,1.36206099294697
2004,78.7294424863421,13.982569822281881,4.753098612204649,1.1657360238353538,1.369153055336105
2005,77.32510591609241,14.70737999346112,4.941036599137797,1.5438794048051308,1.4825980865033948
2006,75.9989417945376,15.71309755585161,4.964903973350246,1.760037092565903,1.5630195836948677
2007,76.19250317036156,16.012339887506847,4.877560266322923,1.3670109456585617,1.5505857301500998
2008,74.69161332611833,16.865266968811397,5.024582611644671,1.7868433257459375,1.6316937676796786
2009,71.7424664130921,18.161433293328326,6.382323712705807,2.017138854857853,1.6966377260159302
2010,72.2842843925709,18.348856320373596,5.7073843478378565,1.9632452812175165,1.6962296580001208
2011,70.18216401532611,19.965777763375396,6.135621758835643,1.9622952585043585,1.754141203958484
2012,70.75404188029289,19.031937638278006,6.268204961938939,2.1796469192746506,1.7661686002156145
2013,71.87715285324167,18.944413454568306,5.428536226498113,2.059418412274942,1.6904790534171141
2014,69.97330780732891,20.259607003755264,6.186205404791199,1.8810725986417771,1.6998071854828125
2015,70.97917353918511,19.67265757478851,5.895637375385204,1.7910927233481786,1.6614387872930028
2016,71.53292891158844,18.230450243298424,6.555056042220213,1.9460213483525366,1.7355434545403947
2017,70.2455773185433,19.538611523973838,6.521616444384081,1.999183110662248,1.6950116024365742
