Years,White,Black,Hispanic,Asian,Other
1980,82.84741058395873,11.526427770103226,3.4711202962918084,0.8085267745466004,1.3465145750997
1981,81.77999718303819,12.207574494173905,3.7416902480329695,0.8182420542892023,1.452496020465851
1982,81.66812403536485,12.420097644698094,3.6777389760341306,0.8084110375338007,1.4256283063692092
1983,81.81852094374811,12.17731857744127,3.715016451084087,0.8162727788600181,1.472871248866686
1984,81.29756450296003,12.554232603903662,3.818227138490926,0.8194446996267106,1.5105310550186501
1985,81.43969152960511,12.418307481934175,3.8480991248267524,0.8138272762549112,1.4800745873790428
1986,82.43074877237379,11.66531945233982,3.679255540376588,0.8308069713780931,1.3938692635314633
1987,81.78592771162296,12.305413082338044,3.605199416799662,0.814551422394571,1.4889083668447851
1988,81.29351298123215,12.58529249688293,3.7720674930259026,0.8257731998811496,1.523353828977868
1989,81.37592420268328,12.483342628501743,3.7939097308923126,0.8272688945596377,1.519554543362949
1990,80.73535916903563,13.241714981169144,3.67453934521781,0.8129226934740741,1.535463811103478
1991,80.28350008335448,12.946994084168933,4.340493021848233,0.8468435755383255,1.582169235090039
1992,79.93290175013563,13.35378400501958,4.252987148311159,0.8546301308059133,1.605696965727503
1993,79.6770036873254,13.529953225800002,4.34942404481125,0.8559841917298477,1.587634850333458
1994,80.70136192144358,12.74719001424946,4.132607848546511,0.8234989973394214,1.5953412184210252
1995,79.81581951801728,13.22061725628265,4.474312616088221,0.8553773598265523,1.6338732497852508
1996,81.05381081295057,12.291509549840999,4.307156134325803,0.8483035441724289,1.4992199587102584
1997,81.5068088367227,11.78740393692466,4.329355723061531,0.868622406858851,1.5078090964324196
1998,80.37820651504035,12.256490156529356,4.876824482719966,0.9137889198936113,1.5746899258166323
1999,81.56989248318327,11.280359078585484,4.668294614814887,0.8919110623736336,1.5895427610425565
2000,81.84798761854485,11.540688310101066,4.219293338474847,0.8715999684357703,1.5204307644432975
2001,81.88172132332372,10.90829801433869,4.7789494052799,0.9244803285293394,1.5065509285285539
2002,81.65747878885028,10.830398341871227,4.97890800434094,0.9553468656432064,1.5778679992944558
2003,82.41014561412506,10.809585149457321,4.395188718294946,0.885100791129573,1.499979726993059
2004,82.22364135538658,10.931295746998574,4.425050670222083,0.8993775486857728,1.5206346787070792
2005,82.93236710411026,10.185654201596805,4.447578559824224,0.8631191468929638,1.571280987575856
2006,82.52152677940235,9.819215978726929,5.1997084050220606,0.9051890782059436,1.554359758642826
2007,81.9007897959763,10.34222063923024,5.244292534376043,0.9432551256898514,1.5694419047276074
2008,80.89483428817647,11.335310740247015,5.133950501685602,0.955426064682991,1.680478405207955
2009,81.86320342098037,10.276794236146692,5.319829235241224,0.9482244929219977,1.59194861470966
2010,81.16372116195534,10.895187868785394,5.426548653332735,0.8762737839044283,1.6382685320221686
2011,81.57660734390089,10.71448356697244,5.178532034724656,0.9308926944846502,1.599484359917427
2012,81.31192816923264,10.70280317507644,5.5276719744639715,0.8823441385480147,1.575252542678999
2013,82.7480135713487,10.281671400011536,4.594180672089099,0.8272068031725331,1.5489275533782947
2014,82.47731403421373,10.489135250968843,4.534222567856984,0.8974163141552471,1.6019118328052184
2015,82.816466142645,10.55098440612828,4.269545739844232,0.8322454187924284,1.5307582925900631
2016,81.02968995425887,12.63009105313829,4.006197324649208,0.7960029507924109,1.538018717161322
2017,81.4851145331259,11.271813945324691,4.834644832097712,0.8546130502750835,1.553813639176719
